,date_started_at,timestamp_started_at,alt_start,Cloud
102,2011-04-11 23:12:48+07:00,1302538368,11250.0,1
103,2011-04-11 23:28:08+07:00,1302539288,10650.0,1
104,2011-04-11 23:32:24+07:00,1302539544,10650.0,1
105,2011-04-11 23:36:38+07:00,1302539798,10950.0,1
106,2011-04-11 23:40:52+07:00,1302540052,10950.0,1
107,2011-04-11 23:45:08+07:00,1302540308,10800.0,1
108,2011-04-12 00:44:35+07:00,1302543875,10800.0,1
109,2011-04-12 00:59:48+07:00,1302544788,10950.0,1
110,2011-04-12 01:04:01+07:00,1302545041,10950.0,1
111,2011-04-12 01:08:15+07:00,1302545295,10800.0,1
112,2011-04-12 01:12:28+07:00,1302545548,10650.0,1
113,2011-04-12 01:16:42+07:00,1302545802,10650.0,1
114,2011-04-12 02:15:47+07:00,1302549347,9150.0,1
115,2011-04-12 02:31:07+07:00,1302550267,9150.0,1
116,2011-04-12 02:35:21+07:00,1302550521,9150.0,1
117,2011-04-12 02:39:35+07:00,1302550775,9000.0,1
118,2011-04-12 02:43:49+07:00,1302551029,9000.0,1
119,2011-04-12 02:48:03+07:00,1302551283,9000.0,1
120,2011-04-12 04:07:02+07:00,1302556022,7950.0,1
121,2011-04-12 04:11:15+07:00,1302556275,7950.0,1
122,2011-04-12 04:15:29+07:00,1302556529,7800.0,1
123,2011-04-12 04:19:44+07:00,1302556784,7950.0,1
124,2011-04-12 04:23:57+07:00,1302557037,7950.0,1
125,2011-04-12 20:26:20+07:00,1302614780,9150.0,1
126,2011-04-12 20:41:36+07:00,1302615696,9150.0,1
127,2011-04-12 21:16:07+07:00,1302617767,8850.0,1
128,2011-04-12 21:31:53+07:00,1302618713,8700.0,1
129,2011-04-12 21:48:41+07:00,1302619721,8550.0,1
130,2011-04-12 22:05:06+07:00,1302620706,8550.0,1
131,2011-04-12 22:20:18+07:00,1302621618,8250.0,1
132,2011-04-12 22:35:23+07:00,1302622523,7650.0,1
133,2011-04-15 20:27:28+07:00,1302874048,8550.0,1
134,2011-04-15 20:43:26+07:00,1302875006,8550.0,1
135,2011-04-15 20:59:12+07:00,1302875952,8550.0,1
136,2011-04-15 21:14:26+07:00,1302876866,8550.0,1
137,2011-04-15 21:29:28+07:00,1302877768,9000.0,1
138,2011-04-19 21:01:55+07:00,1303221715,10350.0,1
139,2011-04-19 21:17:05+07:00,1303222625,10050.0,1
140,2011-04-19 21:32:13+07:00,1303223533,9600.0,1
141,2011-04-19 21:47:29+07:00,1303224449,9450.0,1
142,2011-05-13 00:12:38+07:00,1305220358,8550.0,1
143,2011-05-13 01:07:53+07:00,1305223673,7500.0,1
144,2011-05-13 01:23:49+07:00,1305224629,7500.0,1
145,2011-05-19 17:44:31+07:00,1305801871,9750.0,1
146,2011-05-19 18:34:21+07:00,1305804861,10050.0,1
147,2011-05-19 18:41:30+07:00,1305805290,10050.0,1
148,2011-05-19 18:49:36+07:00,1305805776,10050.0,1
149,2011-05-19 18:54:06+07:00,1305806046,9900.0,1
150,2011-05-19 18:59:57+07:00,1305806397,10050.0,1
151,2011-05-30 16:56:25+07:00,1306749385,5400.0,1
152,2011-05-30 17:07:43+07:00,1306750063,5400.0,1
153,2011-05-30 21:59:19+07:00,1306767559,9300.0,1
154,2011-05-30 22:14:52+07:00,1306768492,8850.0,1
155,2011-05-31 02:47:04+07:00,1306784824,10650.0,1
156,2011-05-31 02:54:18+07:00,1306785258,10500.0,1
157,2011-05-31 03:04:25+07:00,1306785865,10350.0,1
158,2011-05-31 03:10:02+07:00,1306786202,10350.0,1
159,2011-06-07 19:02:10+07:00,1307448130,10950.0,1
160,2011-06-07 19:17:19+07:00,1307449039,10950.0,1
161,2011-06-07 19:32:27+07:00,1307449947,10950.0,1
162,2011-06-10 01:11:47+07:00,1307643107,9750.0,1
163,2011-09-08 21:28:26+07:00,1315492106,6450.0,1
164,2011-09-08 23:45:06+07:00,1315500306,6000.0,1
165,2011-09-09 05:01:47+07:00,1315519307,8100.0,1
166,2011-09-09 05:15:55+07:00,1315520155,8250.0,1
167,2011-09-09 05:22:59+07:00,1315520579,7950.0,1
168,2011-09-09 05:30:03+07:00,1315521003,7800.0,1
169,2011-09-20 20:30:36+07:00,1316525436,10950.0,1
170,2011-09-20 20:46:08+07:00,1316526368,10800.0,1
171,2011-09-20 21:15:34+07:00,1316528134,10800.0,1
172,2011-09-20 21:33:23+07:00,1316529203,10800.0,1
173,2011-09-20 21:48:42+07:00,1316530122,10800.0,1
174,2011-09-20 23:04:09+07:00,1316534649,10800.0,1
175,2011-09-20 23:20:14+07:00,1316535614,10800.0,1
176,2011-09-20 23:35:59+07:00,1316536559,10800.0,1
177,2011-09-20 23:51:58+07:00,1316537518,10800.0,1
178,2011-09-21 00:10:02+07:00,1316538602,10650.0,1
179,2011-09-21 00:25:08+07:00,1316539508,10650.0,1
180,2011-09-21 00:40:47+07:00,1316540447,10800.0,1
181,2011-09-21 05:58:35+07:00,1316559515,9750.0,1
182,2011-09-26 13:34:19+07:00,1317018859,4800.0,1
183,2011-09-26 13:54:23+07:00,1317020063,4800.0,1
184,2011-09-27 05:11:10+07:00,1317075070,8400.0,1
185,2011-09-27 05:18:18+07:00,1317075498,8250.0,1
186,2011-09-27 05:25:38+07:00,1317075938,9000.0,1
187,2011-09-27 05:41:49+07:00,1317076909,8700.0,1
188,2011-09-27 20:39:55+07:00,1317130795,10800.0,1
189,2011-09-27 20:47:01+07:00,1317131221,10800.0,1
190,2011-09-27 20:57:06+07:00,1317131826,10800.0,1
191,2011-09-27 21:09:13+07:00,1317132553,10500.0,1
192,2011-09-27 22:21:24+07:00,1317136884,10050.0,1
193,2011-09-27 22:29:55+07:00,1317137395,10050.0,1
194,2011-09-27 23:15:36+07:00,1317140136,10350.0,1
195,2011-09-28 00:55:03+07:00,1317146103,11100.0,1
196,2011-09-28 01:11:00+07:00,1317147060,11100.0,1
197,2011-09-28 01:26:37+07:00,1317147997,11100.0,1
198,2011-10-17 17:38:40+07:00,1318847920,7500.0,1
199,2011-10-17 17:46:52+07:00,1318848412,7650.0,1
200,2011-10-17 17:53:59+07:00,1318848839,7500.0,1
201,2011-10-17 18:08:26+07:00,1318849706,7500.0,1
202,2011-10-17 18:18:35+07:00,1318850315,7350.0,1
203,2011-10-17 18:34:42+07:00,1318851282,7350.0,1
204,2011-10-17 18:41:56+07:00,1318851716,7200.0,1
205,2011-10-24 15:26:04+07:00,1319444764,5700.0,1
206,2011-10-24 15:33:12+07:00,1319445192,5850.0,1
207,2011-10-24 16:24:24+07:00,1319448264,6300.0,1
208,2011-10-24 16:31:40+07:00,1319448700,6300.0,1
209,2011-10-24 16:38:55+07:00,1319449135,6000.0,1
210,2011-11-16 14:02:45+07:00,1321426965,6150.0,1
211,2011-11-16 14:28:28+07:00,1321428508,5700.0,1
212,2011-11-16 14:36:45+07:00,1321429005,5700.0,1
213,2011-11-28 12:29:31+07:00,1322458171,8850.0,1
214,2011-11-28 17:16:40+07:00,1322475400,8475.0,1
215,2011-11-28 17:32:39+07:00,1322476359,8362.5,1
216,2011-11-28 17:47:54+07:00,1322477274,8400.0,1
217,2011-11-28 18:03:18+07:00,1322478198,8437.5,1
218,2011-11-28 18:19:24+07:00,1322479164,8550.0,1
219,2011-11-30 16:08:31+07:00,1322644111,5212.5,1
220,2011-11-30 17:09:29+07:00,1322647769,5850.0,1
221,2011-11-30 19:03:27+07:00,1322654607,6337.5,1
222,2011-12-26 12:05:56+07:00,1324875956,9000.0,1
223,2011-12-26 19:22:33+07:00,1324902153,9712.5,1
224,2011-12-29 16:58:56+07:00,1325152736,7987.5,1
225,2012-01-04 13:38:40+07:00,1325659120,7387.5,1
226,2012-01-04 14:03:25+07:00,1325660605,9225.0,1
227,2012-01-04 14:54:37+07:00,1325663677,7425.0,1
228,2012-01-04 15:10:26+07:00,1325664626,7425.0,1
229,2012-01-04 17:06:30+07:00,1325671590,7575.0,1
230,2012-01-04 17:21:52+07:00,1325672512,7687.5,1
231,2012-01-04 17:37:17+07:00,1325673437,7650.0,1
