Синоптический индекс станции,year,month,day,hour,Общее количество облачности,Количество облачности нижнего яруса,HLC,Форма облаков среднего яруса,Форма облаков вертикального развития,Слоистые и слоисто-кучевые облака,Слоисто-дождевые облака,Погода между сроками,Погода в срок наблюдения,date,timestamp,datetime
29430,2010,1,7,6,0,0,0,0,0,0,0,3,36.0,2010-01-07 06:00:00,1262844000,2010-01-07 06:00:00
29430,2010,1,7,9,0,0,0,0,0,0,0,3,2.0,2010-01-07 09:00:00,1262854800,2010-01-07 09:00:00
29430,2010,1,7,12,0,0,0,0,0,0,0,3,2.0,2010-01-07 12:00:00,1262865600,2010-01-07 12:00:00
29430,2010,1,7,15,0,0,0,0,0,0,0,0,2.0,2010-01-07 15:00:00,1262876400,2010-01-07 15:00:00
29430,2010,1,7,18,0,0,0,0,0,0,0,0,2.0,2010-01-07 18:00:00,1262887200,2010-01-07 18:00:00
29430,2010,1,7,21,0,0,0,0,0,0,0,0,2.0,2010-01-07 21:00:00,1262898000,2010-01-07 21:00:00
29430,2010,1,8,0,0,0,0,0,0,0,0,0,2.0,2010-01-08 00:00:00,1262908800,2010-01-08 00:00:00
29430,2010,1,8,3,0,0,0,0,0,0,0,0,4.0,2010-01-08 03:00:00,1262919600,2010-01-08 03:00:00
29430,2010,1,8,6,0,0,0,0,0,0,0,0,2.0,2010-01-08 06:00:00,1262930400,2010-01-08 06:00:00
29430,2010,1,8,9,10,0,1,0,0,0,0,1,2.0,2010-01-08 09:00:00,1262941200,2010-01-08 09:00:00
29430,2010,1,8,12,0,0,0,0,0,0,0,1,2.0,2010-01-08 12:00:00,1262952000,2010-01-08 12:00:00
29430,2010,1,8,15,0,0,0,0,0,0,0,0,2.0,2010-01-08 15:00:00,1262962800,2010-01-08 15:00:00
29430,2010,1,8,18,0,0,0,0,0,0,0,0,2.0,2010-01-08 18:00:00,1262973600,2010-01-08 18:00:00
29430,2010,1,8,21,10,0,1,0,0,0,0,1,2.0,2010-01-08 21:00:00,1262984400,2010-01-08 21:00:00
29430,2010,1,9,0,10,0,1,0,0,0,0,1,2.0,2010-01-09 00:00:00,1262995200,2010-01-09 00:00:00
29430,2010,1,9,3,10,0,1,0,0,0,0,2,2.0,2010-01-09 03:00:00,1263006000,2010-01-09 03:00:00
29430,2010,1,9,6,10,0,1,2,0,0,0,7,71.0,2010-01-09 06:00:00,1263016800,2010-01-09 06:00:00
29430,2010,1,9,9,10,0,1,2,0,0,0,7,71.0,2010-01-09 09:00:00,1263027600,2010-01-09 09:00:00
29430,2010,1,9,12,10,0,1,2,0,0,0,7,71.0,2010-01-09 12:00:00,1263038400,2010-01-09 12:00:00
29430,2010,1,9,15,10,0,1,2,0,0,0,7,71.0,2010-01-09 15:00:00,1263049200,2010-01-09 15:00:00
29430,2010,1,9,18,10,0,1,2,0,0,0,7,71.0,2010-01-09 18:00:00,1263060000,2010-01-09 18:00:00
29430,2010,1,9,21,10,0,1,2,0,0,0,7,71.0,2010-01-09 21:00:00,1263070800,2010-01-09 21:00:00
29430,2010,1,10,0,6,0,1,0,0,0,0,7,2.0,2010-01-10 00:00:00,1263081600,2010-01-10 00:00:00
29430,2010,1,10,3,5,0,1,0,0,0,0,1,2.0,2010-01-10 03:00:00,1263092400,2010-01-10 03:00:00
29430,2010,1,10,6,9,0,1,1,0,0,0,1,2.0,2010-01-10 06:00:00,1263103200,2010-01-10 06:00:00
29430,2010,1,10,9,9,0,6,0,0,0,0,2,2.0,2010-01-10 09:00:00,1263114000,2010-01-10 09:00:00
29430,2010,1,10,12,10,0,3,0,0,0,0,2,2.0,2010-01-10 12:00:00,1263124800,2010-01-10 12:00:00
29430,2010,1,10,15,10,0,3,0,0,0,0,2,2.0,2010-01-10 15:00:00,1263135600,2010-01-10 15:00:00
29430,2010,1,10,18,10,0,3,0,0,0,0,2,2.0,2010-01-10 18:00:00,1263146400,2010-01-10 18:00:00
29430,2010,1,10,21,0,0,0,0,0,0,0,1,2.0,2010-01-10 21:00:00,1263157200,2010-01-10 21:00:00
29430,2010,1,12,6,10,2,5,0,2,0,0,8,2.0,2010-01-12 06:00:00,1263276000,2010-01-12 06:00:00
29430,2010,1,12,9,10,0,1,0,0,0,0,8,2.0,2010-01-12 09:00:00,1263286800,2010-01-12 09:00:00
29430,2010,1,12,12,10,0,1,1,0,0,0,8,2.0,2010-01-12 12:00:00,1263297600,2010-01-12 12:00:00
29430,2010,1,12,15,10,0,1,0,0,0,0,2,2.0,2010-01-12 15:00:00,1263308400,2010-01-12 15:00:00
29430,2010,1,12,18,10,0,1,0,0,0,0,2,2.0,2010-01-12 18:00:00,1263319200,2010-01-12 18:00:00
29430,2010,1,12,21,10,0,1,0,0,0,0,2,2.0,2010-01-12 21:00:00,1263330000,2010-01-12 21:00:00
29430,2010,1,13,3,10,0,1,2,0,0,0,2,2.0,2010-01-13 03:00:00,1263351600,2010-01-13 03:00:00
29430,2010,1,13,6,10,0,1,1,0,0,0,3,36.0,2010-01-13 06:00:00,1263362400,2010-01-13 06:00:00
29430,2010,1,13,9,10,0,1,2,0,0,0,3,36.0,2010-01-13 09:00:00,1263373200,2010-01-13 09:00:00
29430,2010,1,13,18,7,0,1,0,0,0,0,8,2.0,2010-01-13 18:00:00,1263405600,2010-01-13 18:00:00
29430,2010,1,13,21,0,0,0,0,0,0,0,1,2.0,2010-01-13 21:00:00,1263416400,2010-01-13 21:00:00
29430,2010,1,14,0,10,0,1,0,0,0,0,1,2.0,2010-01-14 00:00:00,1263427200,2010-01-14 00:00:00
29430,2010,1,15,3,10,0,1,1,0,0,0,8,36.0,2010-01-15 03:00:00,1263524400,2010-01-15 03:00:00
29430,2010,1,15,6,6,6,0,0,0,4,0,8,2.0,2010-01-15 06:00:00,1263535200,2010-01-15 06:00:00
29430,2010,1,15,9,0,0,0,0,0,0,0,3,2.0,2010-01-15 09:00:00,1263546000,2010-01-15 09:00:00
29430,2010,1,15,12,3,0,0,1,0,0,0,3,2.0,2010-01-15 12:00:00,1263556800,2010-01-15 12:00:00
29430,2010,1,15,15,0,0,0,0,0,0,0,0,2.0,2010-01-15 15:00:00,1263567600,2010-01-15 15:00:00
29430,2010,1,15,18,0,0,0,0,0,0,0,0,2.0,2010-01-15 18:00:00,1263578400,2010-01-15 18:00:00
29430,2010,1,15,21,6,0,1,0,0,0,0,1,2.0,2010-01-15 21:00:00,1263589200,2010-01-15 21:00:00
29430,2010,1,16,0,10,0,1,2,0,0,0,7,71.0,2010-01-16 00:00:00,1263600000,2010-01-16 00:00:00
29430,2010,1,16,3,10,0,1,2,0,0,0,7,71.0,2010-01-16 03:00:00,1263610800,2010-01-16 03:00:00
29430,2010,1,16,6,10,0,1,2,0,0,0,7,71.0,2010-01-16 06:00:00,1263621600,2010-01-16 06:00:00
29430,2010,1,16,9,0,0,0,0,0,0,0,7,2.0,2010-01-16 09:00:00,1263632400,2010-01-16 09:00:00
29430,2010,1,16,12,0,0,0,0,0,0,0,7,2.0,2010-01-16 12:00:00,1263643200,2010-01-16 12:00:00
